[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\Ba_Full_Spectrum.csv
XTITLE=x
YTITLE=y

[DATA]
1032, 0, 95
1033, 0, 85
1034, 0, 87
1035, 0, 94
1036, 0, 105
1037, 0, 73
1038, 0, 74
1039, 0, 80
1040, 0, 81
1041, 0, 91
1042, 0, 86
1043, 0, 82
1044, 0, 73
1045, 0, 98
1046, 0, 93
1047, 0, 81
1048, 0, 90
1049, 0, 81
1050, 0, 87
1051, 0, 74
1052, 0, 61
1053, 0, 74
1054, 0, 73
1055, 0, 81
1056, 0, 83
1057, 0, 72
1058, 0, 98
1059, 0, 88
1060, 0, 78
1061, 0, 90
1062, 0, 64
1063, 0, 78
1064, 0, 90
1065, 0, 88
1066, 0, 64
1067, 0, 88
1068, 0, 80
1069, 0, 74
1070, 0, 75
1071, 0, 79
1072, 0, 72
1073, 0, 89
1074, 0, 82
1075, 0, 82
1076, 0, 83
1077, 0, 102
1078, 0, 65
1079, 0, 82
1080, 0, 76
1081, 0, 77
1082, 0, 81
1083, 0, 80
1084, 0, 67
1085, 0, 64
1086, 0, 60
1087, 0, 69
1088, 0, 87
1089, 0, 85
1090, 0, 85
1091, 0, 87
1092, 0, 74
1093, 0, 101
1094, 0, 80
1095, 0, 76
1096, 0, 100
1097, 0, 90
1098, 0, 88
1099, 0, 86
1100, 0, 105
1101, 0, 91
1102, 0, 90
1103, 0, 89
1104, 0, 100
1105, 0, 96
1106, 0, 102
1107, 0, 94
1108, 0, 103
1109, 0, 113
1110, 0, 87
1111, 0, 107
1112, 0, 117
1113, 0, 99
1114, 0, 94
1115, 0, 113
1116, 0, 110
1117, 0, 134
1118, 0, 112
1119, 0, 117
1120, 0, 127
1121, 0, 129
1122, 0, 135
1123, 0, 121
1124, 0, 128
1125, 0, 129
1126, 0, 147
1127, 0, 104
1128, 0, 117
1129, 0, 120
1130, 0, 139
1131, 0, 139
1132, 0, 139
1133, 0, 133
1134, 0, 142
1135, 0, 152
1136, 0, 154
1137, 0, 141
1138, 0, 149
1139, 0, 172
1140, 0, 144
1141, 0, 142
1142, 0, 143
1143, 0, 166
1144, 0, 135
1145, 0, 176
1146, 0, 171
1147, 0, 177
1148, 0, 204
1149, 0, 148
1150, 0, 187
1151, 0, 143
1152, 0, 179
1153, 0, 172
1154, 0, 198
1155, 0, 180
1156, 0, 210
1157, 0, 189
1158, 0, 201
1159, 0, 207
1160, 0, 214
1161, 0, 200
1162, 0, 200
1163, 0, 248
1164, 0, 216
1165, 0, 239
1166, 0, 244
1167, 0, 242
1168, 0, 229
1169, 0, 250
