[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\left_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
6936, 0, 180
6937, 0, 167
6938, 0, 191
6939, 0, 190
6940, 0, 197
6941, 0, 165
6942, 0, 179
6943, 0, 209
6944, 0, 210
6945, 0, 187
6946, 0, 188
6947, 0, 235
6948, 0, 224
6949, 0, 204
6950, 0, 214
6951, 0, 213
6952, 0, 200
6953, 0, 190
6954, 0, 200
6955, 0, 188
6956, 0, 199
6957, 0, 215
6958, 0, 184
6959, 0, 211
6960, 0, 180
6961, 0, 194
6962, 0, 189
6963, 0, 183
6964, 0, 182
6965, 0, 203
6966, 0, 197
6967, 0, 194
6968, 0, 211
6969, 0, 198
6970, 0, 189
6971, 0, 191
6972, 0, 225
6973, 0, 237
6974, 0, 227
6975, 0, 192
6976, 0, 210
6977, 0, 200
6978, 0, 206
6979, 0, 187
6980, 0, 202
6981, 0, 240
6982, 0, 227
6983, 0, 206
6984, 0, 201
6985, 0, 207
6986, 0, 181
6987, 0, 209
6988, 0, 216
6989, 0, 218
6990, 0, 216
6991, 0, 201
6992, 0, 217
6993, 0, 228
6994, 0, 191
6995, 0, 231
6996, 0, 206
6997, 0, 187
6998, 0, 197
6999, 0, 224
7000, 0, 237
7001, 0, 242
7002, 0, 217
7003, 0, 226
7004, 0, 217
7005, 0, 227
7006, 0, 231
7007, 0, 248
7008, 0, 242
7009, 0, 211
7010, 0, 223
7011, 0, 233
7012, 0, 236
7013, 0, 211
7014, 0, 233
7015, 0, 218
7016, 0, 212
7017, 0, 222
7018, 0, 222
7019, 0, 218
7020, 0, 225
7021, 0, 241
7022, 0, 241
7023, 0, 241
7024, 0, 199
7025, 0, 235
7026, 0, 222
7027, 0, 224
7028, 0, 229
7029, 0, 245
7030, 0, 211
7031, 0, 216
7032, 0, 202
7033, 0, 228
7034, 0, 223
7035, 0, 230
