[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\right_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
7374, 0, 158
7375, 0, 161
7376, 0, 158
7377, 0, 185
7378, 0, 175
7379, 0, 198
7380, 0, 199
7381, 0, 166
7382, 0, 177
7383, 0, 190
7384, 0, 159
7385, 0, 198
7386, 0, 175
7387, 0, 203
7388, 0, 170
7389, 0, 186
7390, 0, 205
7391, 0, 178
7392, 0, 167
7393, 0, 179
7394, 0, 173
7395, 0, 175
7396, 0, 190
7397, 0, 161
7398, 0, 177
7399, 0, 197
7400, 0, 208
7401, 0, 176
7402, 0, 190
7403, 0, 167
7404, 0, 197
7405, 0, 187
7406, 0, 181
7407, 0, 180
7408, 0, 192
7409, 0, 190
7410, 0, 181
7411, 0, 195
7412, 0, 176
7413, 0, 194
7414, 0, 163
7415, 0, 192
7416, 0, 175
7417, 0, 188
7418, 0, 175
7419, 0, 183
7420, 0, 177
7421, 0, 171
7422, 0, 150
7423, 0, 203
7424, 0, 182
7425, 0, 163
7426, 0, 183
7427, 0, 181
7428, 0, 165
7429, 0, 203
7430, 0, 175
7431, 0, 187
7432, 0, 177
7433, 0, 165
7434, 0, 219
7435, 0, 175
7436, 0, 199
7437, 0, 173
7438, 0, 201
7439, 0, 163
7440, 0, 178
7441, 0, 175
7442, 0, 160
7443, 0, 168
7444, 0, 166
7445, 0, 185
7446, 0, 195
7447, 0, 161
7448, 0, 176
7449, 0, 174
7450, 0, 143
7451, 0, 171
7452, 0, 184
7453, 0, 197
7454, 0, 155
7455, 0, 181
7456, 0, 172
7457, 0, 179
7458, 0, 187
7459, 0, 167
7460, 0, 163
7461, 0, 164
7462, 0, 178
7463, 0, 182
7464, 0, 197
7465, 0, 189
7466, 0, 187
7467, 0, 147
7468, 0, 169
7469, 0, 178
7470, 0, 152
7471, 0, 146
7472, 0, 170
7473, 0, 169
7474, 0, 164
7475, 0, 159
7476, 0, 148
7477, 0, 164
7478, 0, 165
7479, 0, 157
7480, 0, 159
7481, 0, 159
7482, 0, 175
7483, 0, 157
7484, 0, 150
7485, 0, 169
7486, 0, 147
7487, 0, 162
7488, 0, 157
7489, 0, 166
7490, 0, 156
7491, 0, 146
7492, 0, 159
7493, 0, 137
7494, 0, 153
7495, 0, 146
7496, 0, 131
7497, 0, 144
7498, 0, 143
7499, 0, 152
7500, 0, 141
7501, 0, 133
7502, 0, 160
7503, 0, 146
7504, 0, 123
7505, 0, 172
7506, 0, 146
7507, 0, 162
7508, 0, 153
7509, 0, 166
7510, 0, 139
7511, 0, 145
7512, 0, 150
7513, 0, 134
7514, 0, 141
7515, 0, 156
7516, 0, 144
7517, 0, 152
7518, 0, 141
7519, 0, 139
7520, 0, 127
7521, 0, 153
7522, 0, 160
7523, 0, 131
7524, 0, 136
7525, 0, 145
7526, 0, 122
7527, 0, 146
7528, 0, 142
7529, 0, 136
7530, 0, 133
7531, 0, 123
7532, 0, 128
7533, 0, 158
7534, 0, 128
7535, 0, 145
7536, 0, 145
7537, 0, 141
7538, 0, 124
7539, 0, 138
7540, 0, 132
7541, 0, 142
7542, 0, 144
7543, 0, 133
7544, 0, 133
7545, 0, 140
7546, 0, 170
7547, 0, 127
7548, 0, 141
7549, 0, 138
7550, 0, 125
7551, 0, 113
7552, 0, 127
7553, 0, 147
7554, 0, 143
7555, 0, 115
7556, 0, 117
7557, 0, 140
7558, 0, 148
7559, 0, 137
7560, 0, 133
7561, 0, 130
7562, 0, 115
7563, 0, 126
7564, 0, 120
7565, 0, 122
7566, 0, 121
7567, 0, 126
7568, 0, 124
7569, 0, 122
